month,day_of_week,total_collisions,temp_c,slp_c,visib_c,wdsp_c,prcp_c,fog_c,avg_speed_all
10,2,269,60.7,1020.1,9.5,12.9,0.0,0,27.388569878472222
10,3,302,59.5,1020.7,10.0,6.8,0.0,0,26.511815863715277
10,4,269,64.8,1021.6,9.3,5.1,0.0,0,25.671683485243054
10,5,283,61.3,1025.3,3.2,5.3,0.0,1,24.793322753906249
10,6,297,63.3,1019.6,8.0,9.2,0.0,1,24.809862738715278
10,7,257,63.6,1009.3,8.4,11.4,0.0,0,28.322657606336804
10,1,220,59.4,1001.9,9.8,17.6,0.18,0,29.135875379774305
10,2,188,58.3,1008.0,10.0,13.4,0.0,0,28.611682128906249
10,3,274,57.7,1010.8,10.0,10.4,0.01,0,26.279603075077695
10,4,273,56.6,1011.9,9.9,4.4,0.0,1,26.171051263103156
10,5,267,58.5,1011.9,9.3,5.1,0.0,0,25.246284993489581
10,6,300,56.9,1011.3,9.9,10.2,0.0,0,25.546631914198606
10,7,275,55.1,1009.5,10.0,8.7,0.0,0,28.343869086371527
10,1,279,53.0,997.6,9.7,10.6,0.41,0,29.210792643229166
10,2,284,54.1,999.4,10.0,7.7,0.21,0,27.65058443847802
10,3,263,53.8,1009.5,9.7,5.3,0.03,0,27.87760959201389
10,4,244,53.4,1020.1,10.0,3.3,0.02,0,28.836660698784723
10,5,312,53.9,1021.7,10.0,5.7,0.0,0,28.1677880859375
10,6,333,59.4,1013.4,9.8,10.8,0.0,0,27.530479788231403
10,7,280,59.5,992.4,7.3,11.0,0.11,1,31.114265950520835
10,1,257,57.4,997.0,10.0,19.0,0.76,0,31.31818820529514
10,2,276,52.8,1012.9,9.6,11.3,0.0,0,30.575166829427083
10,3,260,53.8,1026.9,10.0,6.4,0.0,0,29.757157641790229
10,4,286,59.5,1025.9,10.0,14.0,0.0,0,28.880970323350695
10,5,296,62.0,1022.5,9.9,10.6,0.0,0,28.3554150390625
10,6,268,60.0,1019.6,8.2,7.2,0.0,0,28.035568033854165
10,7,353,62.7,1014.5,9.4,9.8,0.0,0,28.451161024305556
10,1,241,56.8,1018.9,10.0,10.7,0.0,0,30.713212890624998
10,2,279,56.0,1013.4,5.1,10.6,0.05,1,30.213839561099434
10,3,268,49.1,1016.4,10.0,12.8,0.01,0,26.824733967005354
11,4,250,43.9,1014.6,9.5,11.2,0.06,0,21.685345982142856
11,5,222,42.0,1027.2,10.0,7.7,0.06,0,21.679323275628153
11,6,291,44.0,1032.0,10.0,8.2,0.0,0,21.441030815972223
11,7,229,56.0,1024.6,10.0,11.2,0.0,0,21.846193952882423
11,1,232,53.0,1016.7,9.4,5.0,0.0,0,21.614172868238033
11,2,273,48.4,1019.6,9.9,7.9,0.0,0,21.602853999594686
11,3,227,56.2,1010.9,9.2,13.5,0.0,0,25.596216397849464
11,4,262,48.1,1012.2,10.0,14.8,0.0,0,28.02278057795699
11,5,234,45.3,1014.4,9.4,6.6,0.0,0,28.711824649214073
11,6,214,49.4,1015.9,10.0,8.2,0.01,0,29.233700316169827
11,7,295,47.9,1022.3,10.0,9.7,0.0,0,30.732775346565404
11,1,229,41.2,1030.0,10.0,7.1,0.0,0,32.53438770325203
11,2,295,39.7,1026.7,10.0,3.8,0.0,0,30.281073001355015
11,3,260,41.8,1021.5,10.0,7.1,0.0,0,30.230316734417343
11,4,267,45.1,1028.2,10.0,8.5,0.01,0,29.913414351851852
11,5,273,52.5,1023.2,9.7,13.0,0.0,0,29.483409835140016
11,6,316,51.9,1019.1,6.5,8.7,0.0,1,28.965066903794039
11,7,277,54.5,1006.6,8.9,11.9,0.09,0,31.1521005532972
11,1,272,44.3,1010.1,10.0,11.0,0.0,0,33.428076541741028
11,2,312,41.7,1022.4,10.0,13.5,0.0,0,29.997641426836502
11,3,354,38.7,1033.0,10.0,8.8,0.0,0,27.958282372550148
11,4,289,48.4,1015.6,6.2,21.8,0.26,1,28.707963726764223
11,5,195,46.6,1004.2,10.0,12.7,0.15,0,33.949571759259257
11,6,218,45.6,1016.1,10.0,9.6,0.0,0,34.940147357723575
11,7,208,34.5,1026.2,10.0,11.2,0.0,0,33.980062321180704
11,1,207,35.5,1026.2,10.0,6.7,0.0,0,32.640476230803976
11,2,260,50.8,1007.0,8.7,17.0,0.13,0,30.493639340560073
11,3,224,40.5,1006.2,10.0,11.3,0.1,0,29.542936522826768
11,4,234,34.1,1015.1,10.0,12.7,0.0,0,27.534947429597928
11,5,264,41.6,1019.6,10.0,11.0,0.0,0,29.1082246745897
12,6,328,49.2,1021.7,9.9,10.6,0.0,0,28.948239247691394
12,7,259,50.2,1016.7,6.8,7.8,0.14,0,31.907017276422764
12,1,258,46.6,1012.1,4.4,8.3,0.1,1,32.189277326106591
12,2,268,48.1,1005.2,8.2,8.8,0.4,1,31.137608401084009
12,3,253,41.4,1010.5,9.7,10.3,0.0,0,31.209025519421861
12,4,218,36.5,1013.9,10.0,12.0,0.04,0,30.533557192863597
12,5,268,31.6,1014.2,10.0,9.9,0.0,0,30.228097052845527
12,6,271,35.0,1020.1,10.0,5.0,0.0,0,30.704081978319785
12,7,267,42.3,1025.2,10.0,8.2,0.0,0,31.250663392050587
12,1,212,50.3,1019.8,7.6,9.9,0.0,1,33.062801022582022
12,2,286,51.6,1006.1,6.2,17.9,0.33,0,30.089329462659382
12,3,306,39.5,1024.1,10.0,12.4,1.04,0,29.867944273679417
12,4,258,44.0,1028.2,10.0,12.7,0.0,0,29.881105988160289
12,5,276,33.8,1033.2,10.0,12.5,0.0,0,29.146432149362475
12,6,303,42.4,1026.5,10.0,13.4,0.0,0,29.0665827071949
12,7,233,46.5,1028.7,10.0,11.0,0.0,0,31.03101007513661
12,1,236,46.8,1029.5,9.6,12.2,0.0,0,34.418953210382512
12,2,293,54.4,1002.6,4.0,26.5,0.19,0,29.713518603319976
12,3,262,46.0,1009.7,8.0,11.0,0.29,0,29.396470385674931
12,4,280,39.1,1022.1,10.0,13.6,0.0,0,29.27847078741965
12,5,280,37.1,1024.7,10.0,19.2,0.0,0,29.311746441689621
12,6,313,32.2,1029.6,10.0,9.9,0.0,0,30.632822256657484
12,7,214,31.8,1033.0,10.0,3.8,0.0,0,34.103039198806243
12,1,210,44.1,1030.6,10.0,5.5,0.0,0,35.989828397612492
12,2,153,46.8,1030.0,10.0,6.8,0.0,0,37.230632747933882
12,3,187,46.0,1026.5,3.6,5.5,0.0,1,33.64396493342516
12,4,229,45.9,1019.9,5.7,4.0,0.0,1,31.568758034894397
12,5,264,52.1,1005.7,5.5,10.9,0.0,1,28.78578569788797
12,6,257,45.5,1002.6,5.7,10.5,0.36,0,30.051296246926746
